Date,TRT, Number of Morts ,Alive
1/24/18,A,0,165
1/24/18,B,0,165
1/24/18,C,0,165
1/24/18,D,0,165
2/5/18,D,2,163
2/5/18,B,1,164
2/5/18,A,1,164
2/5/18,C,1,164
2/5/18,D,2,161
2/9/18,A,1,163
2/9/18,A,1,162
2/9/18,C,2,162
2/12/18,A,1,161
2/14/18,A,1,160
2/14/18,B,1,163
2/14/18,C,1,161
2/14/18,C,1,160
2/14/18,C,1,159
2/14/18,D,1,160
2/14/18,D,1,159
2/15/18,A,1,159
2/15/18,C,1,158
2/15/18,D,1,158
2/15/18,C,1,157
2/15/18,D,1,157
2/16/18,C,1,156
2/16/18,D,1,156
2/19/18,C,1,155
2/19/18,C,2,153
2/19/18,D,1,155
2/19/18,C,2,151
2/21/18,C,1,150
2/21/18,A,1,158
2/21/18,C,1,149
2/21/18,A,1,157
2/21/18,B,1,162
2/21/18,C,1,148
2/22/18,A,1,156
2/23/18,D,1,154
2/23/18,C,1,147
2/28/18,B,1,161
3/7/18,C,1,146
3/9/18,D,1,153
3/12/18,A,1,155
3/27/18,B,1,160
3/27/18,A,2,153
3/27/18,A,1,152
3/27/18,A,1,151
3/27/18,C,1,145
3/27/18,C,1,144
3/27/18,C,1,143
4/2/18,D,1,152
