Date,Group,Bucket,Broodstock
3/30/18,A1,5,20
3/30/18,A1,1,18
3/30/18,A1,23,15
3/30/18,A2,25,18
3/30/18,A2,26,16
3/30/18,B1,27,19
3/30/18,B1,28,19
3/30/18,B2,10,19
3/30/18,B2,13,21
3/30/18,C1,31,14
3/30/18,C1,32,15
3/30/18,C1,30,15
3/30/18,C2,22,8
3/30/18,C2,19,10
3/30/18,C2,21,15
3/30/18,D1,3,19
3/30/18,D1,4,21
3/30/18,D2,8,17
3/30/18,D2,2,18
3/30/18,D2,6,18
3/30/18,D2,7,19
4/3/18,A1,16,16
4/3/18,A2,24,16
4/3/18,B1,17,17
4/3/18,B2,9,21
4/3/18,C1,31,14
4/3/18,C2,22,7
4/3/18,C2,19,8
4/8/18,A1,16,15
4/8/18,C2,20,14
4/8/18,C2,22,6
4/14/18,A1,15,16
4/14/18,B2,11,17
4/14/18,C1,29,16
4/17/18,A2,24,14
4/17/18,D1,12,16
4/22/18,B1,18,16
4/22/18,B2,10,18
4/22/18,C1,29,14
4/27/18,B2,9,19
4/27/18,D1,14,18
