#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 20102229, SEN S/N: 20102229)","Intensity, lum/ft² (LGR S/N: 20102229, SEN S/N: 20102229)",Coupler Attached (LGR S/N: 20102229),Host Connected (LGR S/N: 20102229),Stopped (LGR S/N: 20102229),End Of File (LGR S/N: 20102229)
1,11/2/17 14:00,22.142,14,,,,
2,11/2/17 14:15,22.046,17,,,,
3,11/2/17 14:30,22.142,19,,,,
4,11/2/17 14:45,22.238,16,,,,
5,11/2/17 15:00,22.333,19,,,,
6,11/2/17 15:15,22.429,35,,,,
7,11/2/17 15:30,22.621,33,,,,
8,11/2/17 15:45,22.717,16,,,,
9,11/2/17 16:00,22.812,34,,,,
10,11/2/17 16:15,22.908,31,,,,
11,11/2/17 16:30,22.908,13,,,,
12,11/2/17 16:45,22.812,14,,,,
13,11/2/17 17:00,22.812,13,,,,
14,11/2/17 17:15,22.812,21,,,,
15,11/2/17 17:30,22.717,0,,,,
16,11/2/17 17:45,22.429,0,,,,
17,11/2/17 18:00,22.142,0,,,,
18,11/2/17 18:15,22.046,0,,,,
19,11/2/17 18:30,21.855,0,,,,
20,11/2/17 18:45,21.76,0,,,,
21,11/2/17 19:00,21.664,0,,,,
22,11/2/17 19:15,21.569,0,,,,
23,11/2/17 19:30,21.473,0,,,,
24,11/2/17 19:45,21.473,14,,,,
25,11/2/17 20:00,21.664,13,,,,
26,11/2/17 20:15,21.76,12,,,,
27,11/2/17 20:30,21.855,12,,,,
28,11/2/17 20:45,21.951,12,,,,
29,11/2/17 21:00,22.046,13,,,,
30,11/2/17 21:15,21.951,12,,,,
31,11/2/17 21:30,21.951,14,,,,
32,11/2/17 21:45,22.046,13,,,,
33,11/2/17 22:00,22.046,12,,,,
34,11/2/17 22:15,22.046,12,,,,
35,11/2/17 22:30,22.142,12,,,,
36,11/2/17 22:45,22.142,13,,,,
37,11/2/17 23:00,22.238,12,,,,
38,11/2/17 23:15,22.142,14,,,,
39,11/2/17 23:30,22.142,13,,,,
40,11/2/17 23:45,22.142,13,,,,
41,11/3/17 0:00,22.238,12,,,,
42,11/3/17 0:15,22.046,12,,,,
43,11/3/17 0:30,21.855,0,,,,
44,11/3/17 0:45,21.473,0,,,,
