"Plot Title: Dyes Inlet 2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20102228, SEN S/N: 20102228)","Intensity, lum/ft² (LGR S/N: 20102228, SEN S/N: 20102228)","Coupler Attached (LGR S/N: 20102228)","Host Connected (LGR S/N: 20102228)","Stopped (LGR S/N: 20102228)","End Of File (LGR S/N: 20102228)"
1,11/02/17 02:00:00 PM,22.046,14.0,,,,
2,11/02/17 02:15:00 PM,22.046,18.0,,,,
3,11/02/17 02:30:00 PM,22.142,19.0,,,,
4,11/02/17 02:45:00 PM,22.238,16.0,,,,
5,11/02/17 03:00:00 PM,22.333,19.0,,,,
6,11/02/17 03:15:00 PM,22.525,34.0,,,,
7,11/02/17 03:30:00 PM,22.621,32.0,,,,
8,11/02/17 03:45:00 PM,22.812,17.0,,,,
9,11/02/17 04:00:00 PM,22.908,33.0,,,,
10,11/02/17 04:15:00 PM,23.004,31.0,,,,
11,11/02/17 04:30:00 PM,23.004,14.0,,,,
12,11/02/17 04:45:00 PM,22.908,14.0,,,,
13,11/02/17 05:00:00 PM,22.908,13.0,,,,
14,11/02/17 05:15:00 PM,22.812,22.0,,,,
15,11/02/17 05:30:00 PM,22.812,0.0,,,,
16,11/02/17 05:45:00 PM,22.525,0.0,,,,
17,11/02/17 06:00:00 PM,22.238,0.0,,,,
18,11/02/17 06:15:00 PM,22.142,0.0,,,,
19,11/02/17 06:30:00 PM,21.951,0.0,,,,
20,11/02/17 06:45:00 PM,21.855,0.0,,,,
21,11/02/17 07:00:00 PM,21.760,0.0,,,,
22,11/02/17 07:15:00 PM,21.664,0.0,,,,
23,11/02/17 07:30:00 PM,21.569,0.0,,,,
24,11/02/17 07:45:00 PM,21.664,15.0,,,,
25,11/02/17 08:00:00 PM,21.760,14.0,,,,
26,11/02/17 08:15:00 PM,21.855,13.0,,,,
27,11/02/17 08:30:00 PM,21.951,13.0,,,,
28,11/02/17 08:45:00 PM,22.046,13.0,,,,
29,11/02/17 09:00:00 PM,22.142,13.0,,,,
30,11/02/17 09:15:00 PM,22.142,13.0,,,,
31,11/02/17 09:30:00 PM,22.142,14.0,,,,
32,11/02/17 09:45:00 PM,22.238,14.0,,,,
33,11/02/17 10:00:00 PM,22.238,13.0,,,,
34,11/02/17 10:15:00 PM,22.238,14.0,,,,
35,11/02/17 10:30:00 PM,22.238,13.0,,,,
36,11/02/17 10:45:00 PM,22.333,14.0,,,,
37,11/02/17 11:00:00 PM,22.333,13.0,,,,
38,11/02/17 11:15:00 PM,22.333,14.0,,,,
39,11/02/17 11:30:00 PM,22.238,14.0,,,,
40,11/02/17 11:45:00 PM,22.238,14.0,,,,
41,11/03/17 12:00:00 AM,22.333,13.0,,,,
42,11/03/17 12:15:00 AM,22.238,13.0,,,,
43,11/03/17 12:30:00 AM,22.142,0.0,,,,
44,11/03/17 12:45:00 AM,21.760,0.0,,,,
45,11/03/17 01:00:00 AM,21.473,0.0,,,,
46,11/03/17 01:15:00 AM,21.378,0.0,,,,
47,11/03/17 01:30:00 AM,21.378,0.0,,,,
48,11/03/17 01:45:00 AM,21.282,0.0,,,,
49,11/03/17 02:00:00 AM,21.187,0.0,,,,
50,11/03/17 02:15:00 AM,21.187,0.0,,,,
51,11/03/17 02:30:00 AM,21.091,0.0,,,,
52,11/03/17 02:45:00 AM,21.091,0.0,,,,
53,11/03/17 03:00:00 AM,21.091,0.0,,,,
54,11/03/17 03:15:00 AM,20.996,0.0,,,,
55,11/03/17 03:30:00 AM,20.996,0.0,,,,
56,11/03/17 03:45:00 AM,20.996,0.0,,,,
57,11/03/17 04:00:00 AM,20.901,0.0,,,,
58,11/03/17 04:15:00 AM,20.901,0.0,,,,
59,11/03/17 04:30:00 AM,20.901,0.0,,,,
60,11/03/17 04:45:00 AM,20.901,0.0,,,,
61,11/03/17 05:00:00 AM,20.901,0.0,,,,
62,11/03/17 05:15:00 AM,20.805,0.0,,,,
63,11/03/17 05:30:00 AM,20.805,0.0,,,,
64,11/03/17 05:45:00 AM,20.901,0.0,,,,
65,11/03/17 06:00:00 AM,20.901,0.0,,,,
66,11/03/17 06:15:00 AM,20.805,0.0,,,,
67,11/03/17 06:30:00 AM,20.805,0.0,,,,
68,11/03/17 06:45:00 AM,20.710,0.0,,,,
69,11/03/17 07:00:00 AM,20.710,0.0,,,,
70,11/03/17 07:15:00 AM,20.805,0.0,,,,
71,11/03/17 07:30:00 AM,20.805,0.0,,,,
72,11/03/17 07:45:00 AM,20.710,0.0,,,,
73,11/03/17 08:00:00 AM,20.805,0.0,,,,
74,11/03/17 08:15:00 AM,20.710,0.0,,,,
75,11/03/17 08:30:00 AM,20.710,0.0,,,,
76,11/03/17 08:45:00 AM,20.710,0.0,,,,
77,11/03/17 09:00:00 AM,20.710,0.0,,,,
78,11/03/17 09:15:00 AM,20.805,0.0,,,,
79,11/03/17 09:30:00 AM,20.805,0.0,,,,
80,11/03/17 09:45:00 AM,20.805,0.0,,,,
81,11/03/17 10:00:00 AM,20.805,0.0,,,,
82,11/03/17 10:15:00 AM,20.805,0.0,,,,
83,11/03/17 10:30:00 AM,20.805,1.0,,,,
84,11/03/17 10:45:00 AM,20.901,2.0,,,,
85,11/03/17 11:00:00 AM,20.901,1.0,,,,
86,11/03/17 11:15:00 AM,20.901,0.0,,,,
87,11/03/17 11:30:00 AM,20.901,1.0,,,,
88,11/03/17 11:45:00 AM,20.901,0.0,,,,
89,11/03/17 12:00:00 PM,20.901,14.0,,,,
90,11/03/17 12:15:00 PM,20.996,14.0,,,,
91,11/03/17 12:30:00 PM,21.091,14.0,,,,
92,11/03/17 12:45:00 PM,21.282,14.0,,,,
93,11/03/17 01:00:00 PM,21.282,14.0,,,,
94,11/03/17 01:15:00 PM,21.378,14.0,,,,
95,11/03/17 01:30:00 PM,21.378,1.0,,,,
96,11/03/17 01:45:00 PM,21.282,1.0,,,,
97,11/03/17 02:00:00 PM,21.187,0.0,,,,
98,11/03/17 02:15:00 PM,21.187,1.0,,,,
99,11/03/17 02:30:00 PM,21.091,2.0,,,,
100,11/03/17 02:45:00 PM,21.091,2.0,,,,
101,11/03/17 03:00:00 PM,21.091,1.0,,,,
102,11/03/17 03:15:00 PM,21.091,2.0,,,,
103,11/03/17 03:30:00 PM,21.091,1.0,,,,
104,11/03/17 03:45:00 PM,21.091,1.0,,,,
105,11/03/17 04:00:00 PM,21.091,1.0,,,,
106,11/03/17 04:15:00 PM,20.996,0.0,,,,
107,11/03/17 04:30:00 PM,21.091,15.0,,,,
108,11/03/17 04:45:00 PM,21.187,14.0,,,,
109,11/03/17 05:00:00 PM,21.282,14.0,,,,
110,11/03/17 05:15:00 PM,21.282,14.0,,,,
111,11/03/17 05:30:00 PM,21.282,14.0,,,,
112,11/03/17 05:45:00 PM,21.378,14.0,,,,
113,11/03/17 06:00:00 PM,21.569,14.0,,,,
114,11/03/17 06:15:00 PM,21.569,14.0,,,,
115,11/03/17 06:30:00 PM,21.569,14.0,,,,
116,11/03/17 06:45:00 PM,21.569,14.0,,,,
117,11/03/17 07:00:00 PM,21.569,14.0,,,,
118,11/03/17 07:15:00 PM,21.569,14.0,,,,
119,11/03/17 07:30:00 PM,21.569,14.0,,,,
120,11/03/17 07:45:00 PM,21.664,13.0,,,,
121,11/03/17 08:00:00 PM,21.664,14.0,,,,
122,11/03/17 08:15:00 PM,21.569,14.0,,,,
123,11/03/17 08:30:00 PM,21.569,13.0,,,,
124,11/03/17 08:45:00 PM,21.569,14.0,,,,
125,11/03/17 09:00:00 PM,21.569,14.0,,,,
126,11/03/17 09:15:00 PM,21.569,14.0,,,,
127,11/03/17 09:30:00 PM,21.569,14.0,,,,
128,11/03/17 09:45:00 PM,21.569,14.0,,,,
129,11/03/17 10:00:00 PM,21.569,14.0,,,,
130,11/03/17 10:15:00 PM,21.569,13.0,,,,
131,11/03/17 10:30:00 PM,21.664,14.0,,,,
132,11/03/17 10:45:00 PM,21.569,13.0,,,,
133,11/03/17 11:00:00 PM,22.142,0.0,,,,
134,11/03/17 11:15:00 PM,19.472,0.0,,,,
135,11/03/17 11:30:00 PM,17.284,0.0,,,,
136,11/03/17 11:45:00 PM,15.951,0.0,,,,
137,11/04/17 12:00:00 AM,18.045,0.0,,,,
138,11/04/17 12:15:00 AM,19.092,0.0,,,,
139,11/04/17 12:30:00 AM,19.472,0.0,,,,
140,11/04/17 12:45:00 AM,19.377,0.0,,,,
141,11/04/17 01:00:00 AM,19.282,0.0,,,,
142,11/04/17 01:15:00 AM,19.187,0.0,,,,
143,11/04/17 01:30:00 AM,19.472,0.0,,,,
144,11/04/17 01:45:00 AM,19.472,0.0,,,,
145,11/04/17 02:00:00 AM,19.282,0.0,,,,
146,11/04/17 02:15:00 AM,19.092,0.0,,,,
147,11/04/17 02:30:00 AM,19.377,0.0,,,,
148,11/04/17 02:45:00 AM,19.567,0.0,,,,
149,11/04/17 03:00:00 AM,19.377,0.0,,,,
150,11/04/17 03:15:00 AM,19.187,0.0,,,,
151,11/04/17 03:30:00 AM,19.472,0.0,,,,
152,11/04/17 03:45:00 AM,19.567,0.0,,,,
153,11/04/17 04:00:00 AM,19.377,0.0,,,,
154,11/04/17 04:15:00 AM,19.282,0.0,,,,
155,11/04/17 04:30:00 AM,19.662,0.0,,,,
156,11/04/17 04:45:00 AM,19.662,0.0,,,,
157,11/04/17 05:00:00 AM,19.472,0.0,,,,
158,11/04/17 05:15:00 AM,19.377,0.0,,,,
159,11/04/17 05:30:00 AM,19.758,0.0,,,,
160,11/04/17 05:45:00 AM,19.662,0.0,,,,
161,11/04/17 06:00:00 AM,19.472,0.0,,,,
162,11/04/17 06:15:00 AM,19.662,0.0,,,,
163,11/04/17 06:30:00 AM,19.758,0.0,,,,
164,11/04/17 06:45:00 AM,19.662,0.0,,,,
165,11/04/17 07:00:00 AM,19.472,0.0,,,,
166,11/04/17 07:15:00 AM,19.758,0.0,,,,
167,11/04/17 07:30:00 AM,19.758,0.0,,,,
168,11/04/17 07:45:00 AM,19.567,0.0,,,,
169,11/04/17 08:00:00 AM,19.567,0.0,,,,
170,11/04/17 08:15:00 AM,19.853,0.0,,,,
171,11/04/17 08:30:00 AM,19.758,0.0,,,,
172,11/04/17 08:45:00 AM,19.567,0.0,,,,
173,11/04/17 09:00:00 AM,19.758,0.0,,,,
174,11/04/17 09:15:00 AM,19.853,0.0,,,,
175,11/04/17 09:30:00 AM,19.758,0.0,,,,
176,11/04/17 09:45:00 AM,19.567,0.0,,,,
177,11/04/17 10:00:00 AM,19.853,0.0,,,,
178,11/04/17 10:15:00 AM,20.043,0.0,,,,
179,11/04/17 10:30:00 AM,19.948,0.0,,,,
180,11/04/17 10:45:00 AM,19.758,2.0,,,,
181,11/04/17 11:00:00 AM,19.567,1.0,,,,
182,11/04/17 11:15:00 AM,19.853,0.0,,,,
183,11/04/17 11:30:00 AM,20.043,0.0,,,,
184,11/04/17 11:45:00 AM,19.948,1.0,,,,
185,11/04/17 12:00:00 PM,20.138,0.0,,,,
186,11/04/17 12:15:00 PM,20.329,0.0,,,,
187,11/04/17 12:30:00 PM,20.329,1.0,,,,
188,11/04/17 12:45:00 PM,20.519,0.0,,,,
189,11/04/17 01:00:00 PM,20.329,1.0,,,,
190,11/04/17 01:15:00 PM,20.329,0.0,,,,
191,11/04/17 01:30:00 PM,20.519,0.0,,,,
192,11/04/17 01:45:00 PM,20.710,1.0,,,,
193,11/04/17 02:00:00 PM,20.710,2.0,,,,
194,11/04/17 02:15:00 PM,20.901,1.0,,,,
195,11/04/17 02:30:00 PM,20.710,0.0,,,,
196,11/04/17 02:45:00 PM,20.996,0.0,,,,
197,11/04/17 03:00:00 PM,21.569,0.0,,,,
198,11/04/17 03:15:00 PM,21.091,0.0,,,,
199,11/04/17 03:30:00 PM,20.901,0.0,,,,
