Sample #,Date,TREAT-REP,TREAT,Bag #, Length (mm) ,Length (cm), Whole Weight (g) , Shell Weight (g) , Est. Tissue Weight (g) ,SEX,FEMALE STAGE,MALE STAGE,SIGNIFICANT ATRESIA,Spermatogonia/ oogonia present,spermatocytes,mature spermatids,mature ova,atresic spermatozoa,atresic ova,
1,11/30/17,Pre-Treatment,Wild,NA, 41.5 , 4.15 , 11.2 , 6.4 , 4.8 ,F,2 ,0,N,N,N,N,Y,N,N,
2,11/30/17,Pre-Treatment,Wild,NA, 34.8 , 3.48 , 5.8 , 3.6 , 2.2 ,F,3 ,0,N,N,N,N,Y,N,N,
3,11/30/17,Pre-Treatment,Wild,NA, 53.2 , 5.32 , 15.7 , 10.2 , 5.5 ,F,2 ,0,N,N,N,N,Y,N,N,
4,11/30/17,Pre-Treatment,Wild,NA, 52.1 , 5.21 , 18.7 , 11.8 , 6.9 ,M,5 ,1,N,Y,Y,N,N,N,Y,
5,11/30/17,Pre-Treatment,Wild,NA, 36.5 , 3.65 , 7.3 , 4.4 , 2.9 ,F,3 ,0,N,Y,N,N,Y,N,N,
6,11/30/17,Pre-Treatment,Wild,NA, 39.9 , 3.99 , 6.8 , 4.1 , 2.7 ,H,2 ,3,N,N,N,Y,Y,N,Y,
7,11/30/17,Pre-Treatment,Wild,NA, 41.7 , 4.17 , 8.1 , 5.1 , 3.0 ,F,3 ,0,N,N,N,N,Y,N,Y,
8,11/30/17,Pre-Treatment,Wild,NA, 36.5 , 3.65 , 7.1 , 4.7 , 2.4 ,I,0 ,0,N,Y,N,N,N,N,N,
9,11/30/17,Pre-Treatment,Wild,NA, 41.7 , 4.17 , 12.4 , 7.7 , 4.7 ,F,3 ,0,N,N,N,N,Y,N,Y,
10,11/30/17,Pre-Treatment,Wild,NA, 33.7 , 3.37 , 6.7 , 4.5 , 2.2 ,HPF,1 ,1,N,Y,Y,Y,Y,Y,Y,
11,11/30/17,Pre-Treatment,Wild,NA, 35.4 , 3.54 , 7.0 , 4.4 , 2.6 ,F,3 ,0,N,N,N,N,Y,N,Y,
12,11/30/17,Pre-Treatment,Wild,NA, 39.3 , 3.93 , 5.5 , 3.6 , 1.9 ,F,1 ,0,N,Y,N,N,Y,N,Y,
13,11/30/17,Pre-Treatment,Wild,NA, 35.7 , 3.57 , 7.4 , 4.7 , 2.7 ,F,3 ,0,N,N,N,N,Y,N,Y,
14,11/30/17,Pre-Treatment,Wild,NA, 35.2 , 3.52 , 5.5 , 3.9 , 1.6 ,M,0 ,2,N,N,Y,Y,N,N,N,
15,11/30/17,Pre-Treatment,Wild,NA, 37.6 , 3.76 , 7.6 , 4.6 , 3.0 ,M,5 ,3,N,Y,Y,Y,N,N,Y,Nice male section 
16,11/30/17,Pre-Treatment,Wild,NA, 26.6 , 2.66 , 3.2 , 2.1 , 1.1 ,F,1 ,5,N,Y,N,N,N,N,Y,Good example of recently spawned
17,11/30/17,Pre-Treatment,Wild,NA, 42.5 , 4.25 , 12.3 , 8.2 , 4.1 ,I,1 ,5,N,Y,N,N,N,N,N,
18,11/30/17,Pre-Treatment,Wild,NA, 51.6 , 5.16 , 7.8 , 4.4 , 3.4 ,F,2 ,0,N,N,N,N,Y,N,Y,
19,11/30/17,Pre-Treatment,Wild,NA, 37.1 , 3.71 , 7.6 , 5.6 , 2.0 ,M,0 ,2,N,Y,Y,Y,N,N,N,
20,11/30/17,Pre-Treatment,Wild,NA, 34.9 , 3.49 , 7.4 , 5.4 , 2.0 ,F,2 ,5,N,N,N,Y,Y,Y,Y,
21,11/30/17,Wild,Wild,NA,, 4.10 , 9.0 , 5.0 , 4.0 ,HPM,1 ,3,N,Y,Y,Y,N,Y,Y,
22,11/30/17,Wild,Wild,NA,, 4.80 , 16.0 , 10.0 , 6.0 ,HPF,2 ,5,N,N,Y,Y,Y,Y,Y,
23,11/30/17,Wild,Wild,NA,, 4.20 , 13.0 , 9.0 , 4.0 ,F,2 ,0,N,N,N,N,Y,N,Y,
24,11/30/17,Wild,Wild,NA,, 3.90 , 14.0 , 10.0 , 4.0 ,F,2 ,0,N,N,N,N,Y,N,Y,
25,11/30/17,Wild,Wild,NA,, 4.50 , 27.0 , 22.0 , 5.0 ,F,1 ,0,Y,Y,N,N,Y,N,Y,
26,11/30/17,Wild,Wild,NA,, 5.30 , 13.0 , 7.0 , 6.0 ,F,3 ,0,Y,N,N,N,Y,N,Y,
27,11/30/17,Wild,Wild,NA,, 4.30 , 11.0 , 7.0 , 4.0 ,H,3 ,0,N,N,N,N,Y,N,Y,
28,11/30/17,Wild,Wild,NA,, 4.30 , 13.0 , 9.0 , 4.0 ,H,1 ,2,N,Y,Y,Y,Y,N,Y,
29,11/30/17,Wild,Wild,NA,, 4.20 , 12.0 , 7.0 , 5.0 ,H,5 ,2,Y,Y,Y,Y,Y,Y,Y,
30,11/30/17,Wild,Wild,NA,, 5.70 , 15.0 , 10.0 , 5.0 ,F,3 ,0,N,N,N,N,Y,N,Y,
31,11/30/17,Wild,Wild,NA,, 5.40 , 13.0 , 8.0 , 5.0 ,H,1 ,3,N,Y,Y,Y,Y,Y,Y,
32,11/30/17,Wild,Wild,NA,, 4.60 , 14.0 , 9.0 , 5.0 ,F,3 ,0,Y,N,N,N,Y,N,Y,
33,11/30/17,Wild,Wild,NA,, 5.70 , 31.0 , 24.0 , 7.0 ,F,2 ,0,Y,N,Y,N,Y,N,Y,
34,11/30/17,Wild,Wild,NA,, 4.40 , 15.0 , 10.0 , 5.0 ,F,3 ,0,N,N,N,N,Y,N,Y,
35,11/30/17,Wild,Wild,NA,, 4.70 , 10.0 , 5.0 , 5.0 ,HPF,2 ,3,Y,N,N,Y,Y,Y,Y,Looks like significant atresia
36,11/30/17,Wild,Wild,NA,, 4.10 , 10.0 , 7.0 , 3.0 ,F,2 ,0,N,N,N,N,Y,N,N,
37,11/30/17,Wild,Wild,NA,, 3.70 , 8.0 , 4.0 , 4.0 ,H,1 ,2,N,Y,Y,Y,Y,N,Y,
38,11/30/17,Wild,Wild,NA,, 4.10 , 9.0 , 6.0 , 3.0 ,HPM,1 ,2,N,Y,Y,Y,Y,N,Y,Maybe partially spawned male gametes
39,11/30/17,Wild,Wild,NA,, 4.80 , 11.0 , 7.0 , 4.0 ,F,1 ,0,Y,N,N,N,Y,N,Y,
40,11/30/17,Wild,Wild,NA,, 4.20 , 9.0 , 6.0 , 3.0 ,H,1 ,3,N,Y,Y,Y,Y,Y,Y,Maybe partially spawned male gametes
41,12/20/17,A2,A,24, 33.3 , 3.33 , 7.0 , 4.4 , 2.6 ,F,3 ,0,N,N,N,N,Y,N,Y,
42,12/20/17,A2,A,24, 30.1 , 3.01 , 7.4 , 5.0 , 2.4 ,HPF,2 ,4,N,N,N,N,Y,N,Y,
43,12/20/17,A2,A,25, 33.2 , 3.32 , 7.4 , 4.6 , 2.8 ,HPF,2 ,4,Y,Y,N,N,Y,N,Y,
44,12/20/17,A2,A,26, 35.5 , 3.55 , 7.1 , 4.3 , 2.8 ,H,1 ,3,N,Y,Y,Y,Y,N,N,Good mixed stage/sex sample
45,12/20/17,A2,A,23, 38.4 , 3.84 , 12.0 , 8.2 , 3.8 ,F,2 ,0,N,N,N,N,Y,N,Y,
46,12/20/17,A1,A,16, 34.0 , 3.40 , 7.1 , 4.5 , 2.6 ,F,5 ,0,Y,N,N,N,N,N,Y,Looks like significant atresia
47,12/20/17,A1,A,16, 40.1 , 4.01 , 7.0 , 4.5 , 2.5 ,F,3 ,0,N,N,N,N,Y,N,Y,
48,12/20/17,A1,A,1, 35.0 , 3.50 , 6.9 , 4.6 , 2.3 ,F,3 ,0,Y,N,N,N,Y,N,Y,
49,12/20/17,A1,A,15, 37.8 , 3.78 , 10.2 , 6.2 , 4.0 ,F,3 ,0,N,N,N,N,Y,N,N,
50,12/20/17,A1,A,5, 34.8 , 3.48 , 6.6 , 4.0 , 2.6 ,HPM,5 ,2,Y,Y,Y,Y,Y,N,Y,
51,12/20/17,B1,B,18, 38.1 , 3.81 , 8.6 , 5.3 , 3.3 ,F,2 ,5,Y,,,,,,,
52,12/20/17,B1,B,18, 32.8 , 3.28 , 6.3 , 4.1 , 2.2 ,HPM,1 ,2,N,,,,,,,
53,12/20/17,B1,B,17, 32.0 , 3.20 , 6.6 , 3.9 , 2.7 ,F,3 ,0,N,,,,,,,
54,12/20/17,B1,B,27, 42.0 , 4.20 , 10.9 , 6.6 , 4.3 ,HPM,1 ,3,Y,,,,,,,
55,12/20/17,B1,B,28, 38.4 , 3.84 , 10.4 , 6.8 , 3.6 ,HPF,3 ,5,Y,,,,,,,
56,12/20/17,B2,B,9, 43.5 , 4.35 , 11.2 , 7.0 , 4.2 ,H,1 ,2,N,,,,,,,
57,12/20/17,B2,B,9, 36.8 , 3.68 , 6.1 , 3.9 , 2.2 ,M,0 ,3,Y,,,,,,,
58,12/20/17,B2,B,10, 37.6 , 3.76 , 8.5 , 5.8 , 2.7 ,HPM,1 ,2,Y,,,,,,,
59,12/20/17,B2,B,13, 36.4 , 3.64 , 7.0 , 4.8 , 2.2 ,F,3 ,0,Y,,,,,,,
60,12/20/17,B2,B,11, 37.6 , 3.76 , 7.1 , 4.4 , 2.7 ,F,2 ,0,Y,,,,,,,
61,12/20/17,C1,C,30, 37.9 , 3.79 , 8.0 , 5.5 , 2.5 ,F,3 ,0,N,,,,,,,
62,12/20/17,C1,C,30, 41.4 , 4.14 , 8.7 , 5.3 , 3.4 ,F,3 ,0,Y,,,,,,,
63,12/20/17,C1,C,29, 36.4 , 3.64 , 8.6 , 5.2 , 3.4 ,H,1 ,1,N,,,,,,,
64,12/20/17,C1,C,31, 44.4 , 4.44 , 9.0 , 6.0 , 3.0 ,HPF,3 ,5,Y,,,,,,,"Or male = 3???, possible self fertilization ?"
65,12/20/17,C1,C,32, 31.0 , 3.10 , 5.6 , 3.0 , 2.6 ,HPM,1 ,3,N,,,,,,,
66,12/20/17,C2,C,22, 43.2 , 4.32 , 11.3 , 6.4 , 4.9 ,F,3 ,0,Y,,,,,,,
67,12/20/17,C2,C,22, 33.7 , 3.37 , 7.0 , 4.8 , 2.2 ,H,2 ,2,Y,,,,,,,
68,12/20/17,C2,C,21, 40.6 , 4.06 , 8.1 , 4.7 , 3.4 ,F,2 ,0,Y,,,,,,,
69,12/20/17,C2,C,19, 41.5 , 4.15 , 12.2 , 6.7 , 5.5 ,F,1 ,0,N,,,,,,,
70,12/20/17,C2,C,20, 38.5 , 3.85 , 6.3 , 3.9 , 2.4 ,H,1 ,2,N,,,,,,,
71,12/20/17,D1,D,4, 37.0 , 3.70 , 10.9 , 7.1 , 3.8 ,F,2 ,0,N,,,,,,,
72,12/20/17,D1,D,4, 42.9 , 4.29 , 17.2 , 11.8 , 5.4 ,F,3 ,0,Y,,,,,,,Looks like atresia
73,12/20/17,D1,D,12, 41.7 , 4.17 , 8.3 , 5.7 , 2.6 ,H,1 ,2,Y,,,,,,,
74,12/20/17,D1,D,14, 39.2 , 3.92 , 4.7 , 3.4 , 1.3 ,M,0 ,2,N,,,,,,,partial spawn?
75,12/20/17,D1,D,3, 53.6 , 5.36 , 13.8 , 9.1 , 4.7 ,HPF,2 ,1,Y,,,,,,,
76,12/20/17,D2,D,8, 37.6 , 3.76 , 5.5 , 3.5 , 2.0 ,H,1 ,2,Y,,,,,,,
77,12/20/17,D2,D,8, 42.3 , 4.23 , 14.0 , 8.7 , 5.3 ,F,2 ,0,N,,,,,,,
78,12/20/17,D2,D,6, 31.9 , 3.19 , 8.1 , 5.2 , 2.9 ,H,1 ,3,N,,,,,,,Very interesteing hermaphrodite slide
79,12/20/17,D2,D,7, 38.9 , 3.89 , 9.9 , 6.8 , 3.1 ,F,3 ,5,N,,,,,,,
80,12/20/17,D2,D,2, 35.7 , 3.57 , 8.2 , 6.1 , 2.1 ,F,2 ,0,Y,,,,,,,
81,12/20/17,Wild,Wild,NA, 45.7 , 4.57 , 11.1 , 6.7 , 4.4 ,HPF,2 ,2,Y,,,,,,,Looks like atresia
82,12/20/17,Wild,Wild,NA, 36.4 , 3.64 , 8.1 , 5.3 , 2.8 ,F,3 ,5,Y,,,,,,,
